p1_meta,p1_version,p1_method,p1_pheno,p1_cluster,p2_pheno,rg,se,ci,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
antidep,2501,fixed,N06AB,EUR,ALC,0.5376,0.1,"(0.342, 0.734)",5.377,7.5726e-8,0.0828,0.0159,1.0255,0.0063,0.0091,0.0053
antidep,2501,fixed,N06AB,EUR,AN,0.1768,0.0516,"(0.076, 0.278)",3.4281,6e-4,0.2598,0.0201,1.0467,0.013,0.0076,0.0075
antidep,2501,fixed,N06AB,EUR,ANX,0.2832,0.1106,"(0.066, 0.5)",2.5595,0.0105,0.3009,0.0812,1.0189,0.0092,0.0102,0.0072
antidep,2501,fixed,N06AB,EUR,ASD,0.162,0.0546,"(0.055, 0.269)",2.9657,0.003,0.184,0.0169,1.0228,0.0109,0.0026,0.0067
antidep,2501,fixed,N06AB,EUR,BIP,0.3129,0.0389,"(0.237, 0.389)",8.0389,9.0646e-16,0.1649,0.0084,1.1036,0.0139,0.0272,0.008
antidep,2501,fixed,N06AB,EUR,CAD,0.2569,0.0328,"(0.193, 0.321)",7.8255,5.0576e-15,0.1059,0.008,1.0423,0.0173,0.0282,0.0065
antidep,2501,fixed,N06AB,EUR,CRP,0.1607,0.0384,"(0.085, 0.236)",4.1827,2.8803e-5,0.1143,0.0218,1.0443,0.047,0.0026,0.0067
antidep,2501,fixed,N06AB,EUR,MDD,0.9244,0.0284,"(0.869, 0.98)",32.5367,3.230499999999999e-232,0.0495,0.0019,1.1184,0.0202,0.1526,0.0094
antidep,2501,fixed,N06AB,EUR,MDDClin,0.7602,0.0682,"(0.627, 0.894)",11.1535,6.883499999999999e-29,0.0849,0.0098,1.0219,0.0084,0.032,0.0067
antidep,2501,fixed,N06AB,EUR,MDDEHR,0.8908,0.0324,"(0.827, 0.954)",27.4845,2.6923999999999996e-166,0.0446,0.0019,1.0965,0.0168,0.0441,0.0089
antidep,2501,fixed,N06AB,EUR,MDDHelp,0.9239,0.03,"(0.865, 0.983)",30.834,9.184099999999999e-209,0.0629,0.0033,1.0327,0.0103,0.1674,0.0072
antidep,2501,fixed,N06AB,EUR,MDDQuest,0.9209,0.0317,"(0.859, 0.983)",29.0581,1.2171e-185,0.0659,0.0036,1.033,0.0102,0.2378,0.0068
antidep,2501,fixed,N06AB,EUR,Neu,0.736,0.0275,"(0.682, 0.79)",26.7288,2.1796999999999995e-157,0.0995,0.0038,1.0662,0.0132,0.1228,0.0073
antidep,2501,fixed,N06AB,EUR,Pain,0.7432,0.05,"(0.645, 0.841)",14.8662,5.4655e-50,0.0811,0.0072,1.0078,0.0077,0.0293,0.0053
antidep,2501,fixed,N06AB,EUR,PTSD,0.7393,0.0915,"(0.56, 0.919)",8.0776,6.6028e-16,0.0191,0.0034,1.0252,0.0071,0.0227,0.0062
antidep,2501,fixed,N06AB,EUR,SCZ,0.142,0.0361,"(0.071, 0.213)",3.9375,8.2351e-5,0.391,0.0186,1.1316,0.0217,0.0312,0.0084
antidep,2501,fixed,N06AB,EUR,Smoking,0.2803,0.038,"(0.206, 0.355)",7.3824,1.5551e-13,0.071,0.0096,0.9646,0.0188,0.017,0.0059
antidep,2501,fixed,N06AB,EUR,T2D,0.2613,0.0344,"(0.194, 0.329)",7.5919,3.1516e-14,0.1597,0.0101,1.0849,0.048,0.0098,0.0074
