p1_cohort,p1_pheno,p1_cluster,p1_version,p2_cohort,p2_pheno,p2_cluster,p2_version,pgi,SE,CI,Z,P (Z)
AllOfUs,N06AA,AMR,v7_2411,UKB,N06A,EAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,AMR,v7_2411,UKB,N06A,SAS,21007_2309,1.9724314530547864,1.858194950577159,"(-1.67, 5.614)",-0.5233204690136238,0.6007512590123427
AllOfUs,N06AA,AMR,v7_2411,UKB,N06AA,SAS,21007_2309,1.1414599924253162,2.1586525066585183,"(-3.089, 5.372)",-0.06553161844668036,0.9477507325520844
AllOfUs,N06AA,AMR,v7_2411,UKB,N06AB,SAS,21007_2309,1.720300751932347,1.9112608681114889,"(-2.026, 5.466)",-0.3768720240916532,0.7062687126480327
AllOfUs,N06AA,EAS,v7_2411,AllOfUs,N06AA,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,AllOfUs,N06AA,SAS,v7_2411,-1.381342615931237,6.927742919208674,"(-14.959, 12.197)",0.3437400382350284,0.731041797730761
AllOfUs,N06AA,EAS,v7_2411,AllOfUs,N06AB,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,AllOfUs,N06AB,SAS,v7_2411,-1.108271621794895,16.42867180119008,"(-33.308, 31.091)",0.12832879293639388,0.8978887800145001
AllOfUs,N06AA,EAS,v7_2411,FinnGen,N06A,EUR,R9,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EAS,v7_2411,UKB,N06A,SAS,21007_2309,14.034616621510922,119.79272505759596,"(-220.755, 248.824)",-0.10880975130371164,0.913353389323019
AllOfUs,N06AA,EAS,v7_2411,UKB,N06AA,SAS,21007_2309,22.55604930630433,670.6273637181649,"(-1291.849, 1336.962)",-0.03214311027631045,0.9743579241283784
AllOfUs,N06AA,EAS,v7_2411,UKB,N06AB,SAS,21007_2309,10.920292114039832,282.5530936416453,"(-542.874, 564.714)",-0.03510947973063596,0.9719924423419498
AllOfUs,N06AA,EUR,v7_2411,AllOfUs,N06AA,SAS,v7_2411,1.2198568944701582,1.442533909935714,"(-1.607, 4.047)",-0.15241020883866505,0.878863405654476
AllOfUs,N06AA,EUR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AA,EUR,v7_2411,UKB,N06A,SAS,21007_2309,0.17914833339088096,0.5106600426411928,"(-0.822, 1.18)",1.6074327303220737,0.10795947499221092
AllOfUs,N06AA,EUR,v7_2411,UKB,N06AA,SAS,21007_2309,0.883963353583136,1.22771317856086,"(-1.522, 3.29)",0.0945144586237019,0.9247004975379808
AllOfUs,N06AA,EUR,v7_2411,UKB,N06AB,SAS,21007_2309,0.4712689493081816,0.7420716690061643,"(-0.983, 1.926)",0.7125067197349455,0.4761510518143993
AllOfUs,N06AB,AFR,v7_2411,AllOfUs,N06AB,AMR,v7_2411,2.600775586529615,6.522315531823059,"(-10.183, 15.384)",-0.24543056506838157,0.8061230650770229
AllOfUs,N06AB,AFR,v7_2411,AllOfUs,N06AB,EAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,AFR,v7_2411,AllOfUs,N06AB,EUR,v7_2411,1.890182332784277,1.7880317833450623,"(-1.614, 5.395)",-0.4978559895165385,0.6185855492701589
AllOfUs,N06AB,AFR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,3.5913210435019507,13.440264682233206,"(-22.751, 29.934)",-0.19280282827520792,0.8471133884061077
AllOfUs,N06AB,AFR,v7_2411,FinnGen,N06A,EUR,R9,1.2718544460063963,2.701342676824983,"(-4.023, 6.566)",-0.1006367864168643,0.9198387935953234
AllOfUs,N06AB,AFR,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,1.7394745823607525,5.417910258022505,"(-8.879, 12.358)",-0.13648704890705493,0.8914362622156502
AllOfUs,N06AB,AFR,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,1.012969860138829,5.000736758213528,"(-8.788, 10.814)",-0.00259358985803972,0.997930617015238
AllOfUs,N06AB,AFR,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,2.1885667933144557,5.972166856211914,"(-9.517, 13.894)",-0.1990176801705021,0.8422489144556129
AllOfUs,N06AB,AFR,v7_2411,UKB,N06A,AMR,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,AFR,v7_2411,UKB,N06A,EAS,21007_2309,-2.236924811650468,3.2681283966862527,"(-8.642, 4.168)",0.9904521544908016,0.32195316409689034
AllOfUs,N06AB,AFR,v7_2411,UKB,N06A,SAS,21007_2309,-0.7186623315314865,1.433860786874667,"(-3.529, 2.092)",1.1986256596622542,0.2306735361110156
AllOfUs,N06AB,AFR,v7_2411,UKB,N06AA,SAS,21007_2309,-0.5119611010390622,2.4714463353947704,"(-5.356, 4.332)",0.6117717707989613,0.5406887691953045
AllOfUs,N06AB,AFR,v7_2411,UKB,N06AB,SAS,21007_2309,-0.2018963366654693,1.2527680991745758,"(-2.657, 2.253)",0.959392514430544,0.3373610446957451
AllOfUs,N06AB,AMR,v7_2411,AllOfUs,N06AB,EAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,AMR,v7_2411,AllOfUs,N06AB,EUR,v7_2411,0.06000633419400994,0.46821297376778515,"(-0.858, 0.978)",2.007619862050617,0.04468370228528284
AllOfUs,N06AB,AMR,v7_2411,AllOfUs,N06AB,SAS,v7_2411,-3.331431992013941,34.23387552531091,"(-70.429, 63.766)",0.12652473392360983,0.8993165715321569
AllOfUs,N06AB,AMR,v7_2411,FinnGen,N06A,EUR,R9,0.7279805465824851,0.3980126568044125,"(-0.052, 1.508)",0.6834442291396479,0.4943261800252955
AllOfUs,N06AB,AMR,v7_2411,GenScot,N06A,EUR,rmUKBB_2309,0.5055677328155803,0.9109319955904592,"(-1.28, 2.291)",0.5427762660416077,0.5872838563336428
AllOfUs,N06AB,AMR,v7_2411,GenScot,N06AA,EUR,rmUKBB_2309,-0.06896809101468977,0.8664670170724498,"(-1.767, 1.629)",1.2337089236546297,0.21731138749711876
AllOfUs,N06AB,AMR,v7_2411,GenScot,N06AB,EUR,rmUKBB_2309,-0.3480731298570371,1.889302148587714,"(-4.051, 3.355)",0.7135296653659897,0.4755180629865752
AllOfUs,N06AB,AMR,v7_2411,UKB,N06A,EAS,21007_2309,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,AMR,v7_2411,UKB,N06A,SAS,21007_2309,0.3392005309991333,0.7776991049108616,"(-1.185, 1.863)",0.849685263655545,0.3955000935446933
AllOfUs,N06AB,AMR,v7_2411,UKB,N06AA,SAS,21007_2309,1.449200559858763,1.4436108155172167,"(-1.38, 4.279)",-0.3111645846860904,0.7556755048191756
AllOfUs,N06AB,AMR,v7_2411,UKB,N06AB,SAS,21007_2309,-0.35179941392849207,0.9964166209349836,"(-2.305, 1.601)",1.356660843995192,0.17488899939038582
AllOfUs,N06AB,EAS,v7_2411,AllOfUs,N06AB,EUR,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
AllOfUs,N06AB,EAS,v7_2411,AllOfUs,N06AB,SAS,v7_2411,NA,NA,"(NaN, NaN)",NA,NA
